Temporada,Time_casa,Time_visitante,Placar_mand,Placar_visit,Result_mand,Ranking_mand,Ranking_visit,Valor_mand,Valor_visit,Taxa_gols_mand,Taxa_gols_visit,Vitorias_mand,Derrotas_mand,Empates_mand,Vitorias_visit,Derrotas_visit,Empates_visit,Saldo_gols_mand,Saldo_gols_visit,Aproveitamento_mand,Aproveitamento_visit
2013,Goiás,Vasco da Gama,1,1,1,9896.0,15030.0,8.65,27.2,0.9,1.5,3.0,3.0,4.0,4.0,4.0,2.0,-4.0,-3.0,0.43333333333333335,0.4666666666666667
2013,Náutico - PE,São Paulo FC,0,1,0,8036.0,14786.0,14.1,115.8,0.7,1.1,2.0,7.0,1.0,3.0,4.0,3.0,-10.0,0.0,0.23333333333333334,0.4
2013,Internacional,Santos FC,1,2,0,14360.0,13736.0,62.3,103.75,1.8,1.4,4.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,0.5,0.5
2013,São Paulo FC,Bahia - BA,1,2,0,14786.0,9282.0,115.8,24.05,1.0909090909090908,1.1818181818181819,3.0,5.0,3.0,5.0,2.0,4.0,-1.0,3.0,0.36363636363636365,0.5757575757575758
2013,Cruzeiro,Coritiba FC,1,0,2,13096.0,12804.0,55.25,31.4,2.090909090909091,1.5454545454545454,6.0,2.0,3.0,5.0,1.0,5.0,14.0,5.0,0.6363636363636364,0.6060606060606061
2013,Flamengo RJ,Atlético Mineiro,3,0,2,14352.0,11520.0,44.45,46.1,1.0909090909090908,1.1818181818181819,3.0,4.0,4.0,4.0,6.0,1.0,0.0,-3.0,0.3939393939393939,0.3939393939393939
2013,Grêmio Porto Alegre,Internacional,1,1,1,14460.0,14360.0,77.65,62.3,1.0909090909090908,1.7272727272727273,4.0,3.0,4.0,4.0,3.0,4.0,1.0,1.0,0.48484848484848486,0.48484848484848486
2013,Ponte Preta,Fluminense RJ,1,1,1,7600.0,16208.0,13.78,68.15,1.1818181818181819,1.2727272727272727,3.0,6.0,2.0,4.0,6.0,1.0,-7.0,-2.0,0.3333333333333333,0.3939393939393939
2013,Criciúma - SC,Corinthians SP,0,2,0,4370.0,15624.0,15.1,84.55,1.1818181818181819,0.9090909090909091,3.0,6.0,2.0,4.0,2.0,5.0,-7.0,5.0,0.3333333333333333,0.5151515151515151
2013,Athletico Paranaense,Goiás,2,0,2,11078.0,9896.0,15.85,8.65,1.8181818181818181,0.8181818181818182,4.0,3.0,4.0,3.0,4.0,4.0,2.0,-6.0,0.48484848484848486,0.3939393939393939
2013,Vasco da Gama,Botafogo - RJ,2,3,0,15030.0,10622.0,27.2,36.0,1.5454545454545454,1.6363636363636365,4.0,5.0,2.0,7.0,2.0,2.0,-4.0,8.0,0.42424242424242425,0.696969696969697
2013,Vitória - BA,Portuguesa - SP,2,1,2,9900.0,7840.0,17.88,16.5,1.4545454545454546,1.0909090909090908,5.0,3.0,3.0,1.0,5.0,5.0,4.0,-6.0,0.5454545454545454,0.24242424242424243
2013,Santos FC,Náutico - PE,1,1,1,13736.0,8036.0,103.75,14.1,1.3636363636363635,0.7272727272727273,4.0,3.0,4.0,2.0,7.0,2.0,3.0,-10.0,0.48484848484848486,0.24242424242424243
2013,São Paulo FC,Internacional,0,1,0,14786.0,14360.0,115.8,62.3,1.0,1.6666666666666667,3.0,6.0,3.0,5.0,3.0,4.0,-2.0,2.0,0.3333333333333333,0.5277777777777778
2013,Vitória - BA,Fluminense RJ,1,1,1,9900.0,16208.0,17.88,68.15,1.4166666666666667,1.25,5.0,3.0,4.0,4.0,6.0,2.0,4.0,-2.0,0.5277777777777778,0.3888888888888889
2013,Criciúma - SC,Cruzeiro,1,2,0,4370.0,13096.0,15.1,55.25,1.1666666666666667,2.0833333333333335,3.0,7.0,2.0,7.0,2.0,3.0,-8.0,15.0,0.3055555555555556,0.6666666666666666
2013,Flamengo RJ,Portuguesa - SP,1,1,1,14352.0,7840.0,44.45,16.5,1.0833333333333333,1.0833333333333333,3.0,4.0,5.0,1.0,5.0,6.0,0.0,-6.0,0.3888888888888889,0.25
2013,Athletico Paranaense,Bahia - BA,1,0,2,11078.0,9282.0,15.85,24.05,1.75,1.0833333333333333,5.0,3.0,4.0,5.0,3.0,4.0,3.0,2.0,0.5277777777777778,0.5277777777777778
2013,Goiás,Náutico - PE,2,1,2,9896.0,8036.0,8.65,14.1,0.9166666666666666,0.75,4.0,4.0,4.0,2.0,8.0,2.0,-5.0,-11.0,0.4444444444444444,0.2222222222222222
2013,Atlético Mineiro,Botafogo - RJ,2,2,1,11520.0,10622.0,46.1,36.0,1.25,1.6666666666666667,4.0,6.0,2.0,7.0,2.0,3.0,-3.0,8.0,0.3888888888888889,0.6666666666666666
2013,Santos FC,Corinthians SP,1,1,1,13736.0,15624.0,103.75,84.55,1.3333333333333333,0.9166666666666666,4.0,3.0,5.0,4.0,2.0,6.0,3.0,5.0,0.4722222222222222,0.5
2013,Vasco da Gama,Ponte Preta,1,1,1,15030.0,7600.0,27.2,13.78,1.5,1.1666666666666667,4.0,5.0,3.0,3.0,6.0,3.0,-4.0,-7.0,0.4166666666666667,0.3333333333333333
2013,Grêmio Porto Alegre,Coritiba FC,0,1,0,14460.0,12804.0,77.65,31.4,1.0,1.5,4.0,4.0,4.0,6.0,1.0,5.0,0.0,6.0,0.4444444444444444,0.6388888888888888
2013,Botafogo - RJ,Goiás,1,1,1,10622.0,9896.0,36.0,8.65,1.6153846153846154,0.9230769230769231,7.0,2.0,4.0,4.0,4.0,5.0,8.0,-5.0,0.6410256410256411,0.4358974358974359
2013,Náutico - PE,Atlético Mineiro,0,0,1,8036.0,11520.0,14.1,46.1,0.6923076923076923,1.1538461538461537,2.0,8.0,3.0,4.0,6.0,3.0,-11.0,-3.0,0.23076923076923078,0.38461538461538464
2013,Fluminense RJ,Flamengo RJ,2,3,0,16208.0,14352.0,68.15,44.45,1.3076923076923077,1.2307692307692308,4.0,7.0,2.0,4.0,4.0,5.0,-3.0,1.0,0.358974358974359,0.4358974358974359
2013,Corinthians SP,Vitória - BA,2,0,2,15624.0,9900.0,84.55,17.88,1.0,1.3076923076923077,5.0,2.0,6.0,5.0,4.0,4.0,7.0,2.0,0.5384615384615384,0.48717948717948717
2013,Cruzeiro,Santos FC,0,0,1,13096.0,13736.0,55.25,103.75,1.9230769230769231,1.2307692307692308,7.0,2.0,4.0,4.0,3.0,6.0,15.0,3.0,0.6410256410256411,0.46153846153846156
